Timestamp,Grade Level,What is your unweighted GPA or grade?,What is the main genre of music you listen to?,How much sleep do you get on average?,How many APs have you taken?
5/21/2024 10:32:35,11th,4.0 | A or A+ | 93-100,Classical,7-9 hours,1 APs
5/21/2024 10:45:45,9th,3.7 | A- | 90-92,Country,4-6 hours,0 APs
5/21/2024 10:54:50,11th,4.0 | A or A+ | 93-100,Pop,7-9 hours,3 APs
5/21/2024 11:00:09,9th,4.0 | A or A+ | 93-100,Jazz,7-9 hours,0 APs
5/21/2024 11:06:54,11th,3.3 | B+ | 87-89,Hip-Hop,4-6 hours,1 APs
5/21/2024 11:10:24,11th,3.7 | A- | 90-92,Pop,7-9 hours,2 APs
5/21/2024 11:27:25,9th,3.7 | A- | 90-92,Hip-Hop,7-9 hours,0 APs
5/21/2024 12:05:38,9th,4.0 | A or A+ | 93-100,Rock,7-9 hours,0 APs
5/21/2024 12:34:22,11th,4.0 | A or A+ | 93-100,Pop,7-9 hours,5 APs
5/21/2024 12:56:14,12th,4.0 | A or A+ | 93-100,Pop,7-9 hours,5 APs
5/21/2024 14:35:05,10th,4.0 | A or A+ | 93-100,Hip-Hop,7-9 hours,1 APs
5/21/2024 14:45:05,10th,3.7 | A- | 90-92,Rock,7-9 hours,0 APs
5/21/2024 16:21:29,10th,3.7 | A- | 90-92,Classical,7-9 hours,1 APs
5/21/2024 17:35:53,10th,3.7 | A- | 90-92,Pop,7-9 hours,1 APs
5/22/2024 8:41:39,12th,4.0 | A or A+ | 93-100,Pop,7-9 hours,6 APs
5/24/2024 7:29:14,12th,3.7 | A- | 90-92,Pop,7-9 hours,7 APs